win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills,counter
1,0.51,0.86,0.78,0.76,0.57,0.81,8.43,1.95,1.14,3.08,1.3,37.0
0,0.56,0.34,0.12,0.16,0.38,0.59,2.78,0.22,0.16,1.22,0.84,32.0
