,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills,counter
Blue,0.67,0.33,0.33,0.33,0.17,0.33,4.33,0.83,0.33,1.0,0.5,6.0
Red,0.43,0.86,1.0,0.86,0.43,1.0,10.0,3.0,1.14,2.86,1.57,7.0
