,participantId,creepsPerMinDeltas,xpPerMinDeltas,goldPerMinDeltas,damageTakenPerMinDeltas,role,lane,csDiffPerMinDeltas,xpDiffPerMinDeltas,damageTakenDiffPerMinDeltas,counter,creepsPerMinDeltas@0-10,creepsPerMinDeltas@10-20,creepsPerMinDeltas@20-30,creepsPerMinDeltas@30-end,xpPerMinDeltas@0-10,xpPerMinDeltas@10-20,xpPerMinDeltas@20-30,xpPerMinDeltas@30-end,goldPerMinDeltas@0-10,goldPerMinDeltas@10-20,goldPerMinDeltas@20-30,goldPerMinDeltas@30-end,damageTakenPerMinDeltas@0-10,damageTakenPerMinDeltas@10-20,damageTakenPerMinDeltas@20-30,damageTakenPerMinDeltas@30-end,csDiffPerMinDeltas@0-10,csDiffPerMinDeltas@10-20,csDiffPerMinDeltas@20-30,csDiffPerMinDeltas@30-end,xpDiffPerMinDeltas@0-10,xpDiffPerMinDeltas@10-20,xpDiffPerMinDeltas@20-30,xpDiffPerMinDeltas@30-end,damageTakenDiffPerMinDeltas@0-10,damageTakenDiffPerMinDeltas@10-20,damageTakenDiffPerMinDeltas@20-30,damageTakenDiffPerMinDeltas@30-end
2020-04-01 00:00:25.461,3,"{'10-20': 6.5, '0-10': 5.8}","{'10-20': 561.8, '0-10': 410.6}","{'10-20': 349.4, '0-10': 208}","{'10-20': 762.9000000000001, '0-10': 317.3}",SOLO,MIDDLE,,,,1,5.8,6.5,,,410.6,561.8,,,208,349.4,,,317.3,762.9000000000001,,,,,,,,,,,,,,
2020-03-31 23:18:06.193,8,"{'10-20': 5, '0-10': 6.800000000000001}","{'10-20': 527.2, '0-10': 486.29999999999995}","{'10-20': 427.5, '0-10': 280.3}","{'10-20': 922.5, '0-10': 314.9}",SOLO,TOP,,,,1,6.800000000000001,5,,,486.29999999999995,527.2,,,280.3,427.5,,,314.9,922.5,,,,,,,,,,,,,,
2020-03-31 22:33:42.564,8,"{'10-20': 7.5, '0-10': 7, '30-end': 5, '20-30': 3.2}","{'10-20': 546.7, '0-10': 458.8, '30-end': 643.4, '20-30': 485.2}","{'10-20': 437.1, '0-10': 252.89999999999998, '30-end': 362.6, '20-30': 340}","{'10-20': 703, '0-10': 419.8, '30-end': 363, '20-30': 919.6}",SOLO,TOP,"{'10-20': 0.30000000000000027, '0-10': 0.40000000000000036, '30-end': -2.2, '20-30': -3.1}","{'10-20': -36.29999999999998, '0-10': 38.80000000000001, '30-end': -98.80000000000007, '20-30': 0.9999999999999716}","{'10-20': -113.30000000000001, '0-10': 16.80000000000001, '30-end': -349, '20-30': -408.29999999999995}",1,7,7.5,3.2,5,458.8,546.7,485.2,643.4,252.89999999999998,437.1,340,362.6,419.8,703,919.6,363,0.40000000000000036,0.30000000000000027,-3.1,-2.2,38.80000000000001,-36.29999999999998,0.9999999999999716,-98.80000000000007,16.80000000000001,-113.30000000000001,-408.29999999999995,-349
