,week,queueId,championId,win,kills,deaths,assists,totalDamageDealt,totalDamageTaken,goldEarned,visionScore,creepsPerMinDeltas@0-10,creepsPerMinDeltas@10-20,xpPerMinDeltas@0-10,csDiffPerMinDeltas@0-10,csDiffPerMinDeltas@10-20,xpDiffPerMinDeltas@0-10,xpDiffPerMinDeltas@10-20,player
1585692025461,1.0,Flex,Ornn,False,4,5,9,85120,20031,7971,16,5.8,6.5,410.6,,,,,Strucio
1585689486193,1.0,Flex,Ornn,True,4,3,11,99788,22547,11470,26,6.8,5.0,486.3,,,,,Strucio
1585686822564,1.0,Flex,Ornn,True,3,3,13,169527,22496,12890,33,7.0,7.5,458.8,0.4,0.3,38.8,-36.3,Strucio
1586199549069,2.0,Flex,Taric,False,2,11,10,20126,30579,8904,68,1.4,1.4,300.4,1.75,-1.5,25.9,-41.35,Strucio
