,gamesPlayed,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
Blue,38.0,0.5,0.55,0.55,0.42,0.47,0.45,0.74,5.05,0.89,0.61,2.0,1.03
Red,31.0,0.58,0.52,0.71,0.55,0.48,0.52,0.68,6.74,1.45,0.77,2.48,1.16
