,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,championId,queueId,week,counter,gameCreation
1588529772548,5,False,3174,3853,3190,3504,3117,2055,3364,5,10,18,2,1,1,470,0,0,0,0,0,28646,22503,4381,1761,0,14058,10904,1560,1593,3643,5,14314,2515,506,57,22,16871,4525,10876,1469,9898,8725,0,0,18,0,0,0,128,14,7,0,38,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,1153,410,0,8226,250,238,0,8210,0,0,0,8237,492,0,0,8345,3,0,0,8347,0,0,0,8200,8300,5008,5008,5002,43,440,6.0,1,1588529772548
1588523340439,10,True,3050,3857,3383,3117,3109,2055,3364,3,4,19,2,1,1,713,0,0,0,0,0,30800,16346,8730,5723,0,9167,7065,919,1182,4159,1,34065,5745,2941,62,34,21658,4756,15270,1630,11016,9200,2,0,31,0,0,0,102,17,6,0,35,7,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,390,0,0,8446,1683,0,0,8473,601,0,0,8242,12,0,0,8345,3,0,0,8347,0,0,0,8400,8300,5007,5002,5001,412,440,6.0,1,1588523340439
1588458639976,10,False,3020,3853,3157,3285,3108,1033,3364,3,5,8,3,1,1,828,0,0,0,0,0,76773,65369,3158,8246,0,18663,17079,670,914,2380,1,6307,13232,7585,75,14,16861,11120,5414,326,9985,9475,1,0,49,0,0,0,121,15,7,0,47,4,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1155,0,0,8226,250,568,0,8210,20,0,0,8237,558,0,0,8313,0,0,0,8345,3,0,0,8200,8300,5008,5008,5002,115,440,6.0,1,1588458639976
1588456229039,5,True,3068,3860,3193,3009,1031,2055,3364,6,3,13,5,2,1,349,1,0,0,0,0,40625,26338,9441,4845,0,7758,6004,1190,564,8768,1,22565,12978,6582,48,20,19967,7270,10600,2097,9422,8050,0,0,30,0,0,0,115,13,4,0,21,6,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,392,314,0,8446,3359,0,0,8429,56,22,13,8451,180,0,0,8313,0,0,0,8345,3,0,0,8400,8300,5007,5008,5002,223,440,6.0,1,1588456229039
1588454118215,10,True,3157,3853,3030,3020,3136,1026,3364,7,4,10,5,2,1,995,1,0,0,0,0,113085,67897,4864,40324,0,24959,22138,1871,949,517,1,3868,51612,39702,38,28,10900,5853,4748,297,11176,9975,8,1,27,8,0,0,189,13,1,0,19,2,False,False,True,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1935,0,0,8226,250,1060,0,8210,0,0,0,8237,719,0,0,8313,0,0,0,8345,3,0,0,8200,8300,5008,5008,5002,115,440,6.0,1,1588454118215
1588103382295,3,True,3179,3864,3142,3147,3009,3026,3363,7,5,18,5,2,1,885,1,0,0,0,0,88033,0,84040,3993,1567,20320,0,19790,530,18232,5,8608,24099,4690,74,38,19866,11052,8408,406,13100,12375,2,0,43,20,8,8,182,16,3,0,23,25,False,False,True,False,False,True,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8351,50,0,0,8304,10,3,0,8345,3,0,0,8347,0,0,0,8009,3511,500,0,8014,535,0,0,8300,8000,5008,5008,5002,235,440,5.0,1,1588103382295
1588098790579,3,False,3504,3853,3028,3108,3117,0,3364,2,5,5,0,1,0,532,0,0,0,0,0,12832,9390,2842,600,0,5303,3557,1145,600,53,1,3875,1021,284,41,19,10884,4469,6090,324,6693,5850,0,0,16,0,0,0,127,11,4,0,23,7,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,384,970,0,8226,250,192,0,8210,0,0,0,8237,219,0,0,8345,3,0,0,8347,0,0,0,8200,8300,5008,5008,5002,117,440,5.0,1,1588098790579
1588096687440,3,True,3117,3851,3504,1004,3108,2055,3364,2,2,10,0,2,0,300,1,0,0,0,0,8103,5388,2578,136,0,3703,2754,813,136,413,1,2129,2563,509,28,15,4520,1873,2579,68,5842,5375,0,0,5,0,0,0,94,11,5,0,19,4,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8214,251,986,0,8226,250,102,0,8210,0,0,0,8237,167,0,0,8345,3,0,0,8347,0,0,0,8200,8300,5008,5008,5002,117,440,5.0,1,1588096687440
1588094070882,8,True,3117,3853,3504,3174,3105,2055,3364,3,5,18,2,1,1,705,0,0,0,0,0,16916,12252,4507,156,0,5552,4166,1229,156,610,3,8901,3252,1259,43,13,11245,3231,7969,44,8581,7830,1,0,10,0,0,0,114,13,7,0,21,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8214,552,898,0,8226,250,257,0,8210,0,0,0,8237,228,0,0,8345,3,0,0,8347,0,0,0,8200,8300,5008,5008,5002,117,440,5.0,1,1588094070882
1587932091984,8,True,3504,3853,3107,3174,3117,2055,3364,2,6,23,2,1,1,456,0,0,0,0,0,16757,12116,3985,655,0,6256,4605,994,655,3170,5,8205,4064,2121,52,16,15235,9495,5711,28,9193,8300,0,0,5,0,0,0,144,15,4,0,21,2,True,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8214,529,2076,0,8226,250,268,0,8210,0,0,0,8237,276,0,0,8345,3,0,0,8347,0,0,0,8200,8300,5008,5008,5002,117,440,5.0,1,1587932091984
