,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,championId,queueId,week,counter,gameCreation
1588529772548,4,False,1011,3211,3143,3047,3068,3812,3340,6,6,6,2,2,3,715,1,0,0,0,0,171439,47485,119845,4109,0,25226,6355,18812,59,7342,1,59082,3188,615,30,41,31413,7978,14445,8989,13483,13350,1,0,222,4,0,0,827,17,4,0,13,5,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,1195,1141,0,8401,310,0,0,8473,986,0,0,8453,825,1209,0,8345,3,0,0,8352,324,1707,1088,8400,8300,5005,5008,5002,78,440,6.0,1,1588529772548
1588523340439,9,True,3800,3373,3387,3075,3047,1057,3340,4,5,17,2,2,1,468,1,0,0,0,0,167461,80601,77333,9525,88,23532,14803,7330,1398,7682,1,66405,13322,695,26,46,33238,13029,17830,2378,14868,13850,0,0,205,12,0,8,774,18,3,0,13,4,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8360,22,0,0,8304,11,1,5,8345,3,0,0,8347,0,0,0,8429,69,38,14,8451,279,0,0,8300,8400,5007,5002,5002,516,440,6.0,1,1588523340439
1588458639976,9,False,2420,3153,3071,3812,3052,3111,3340,4,9,10,2,1,1,853,0,0,0,0,0,208773,959,180364,27449,0,25486,959,21194,3332,6105,1,48864,2280,0,32,39,47540,16415,28572,2552,13832,13625,0,0,230,14,12,0,339,18,3,0,17,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1216,0,0,9111,1567,280,0,9105,22,30,0,8299,1013,0,0,8444,2218,0,0,8451,268,0,0,8000,8400,5005,5008,5002,875,440,6.0,1,1588458639976
1588456229039,4,True,3742,3077,3068,0,3111,0,3340,3,5,10,2,1,1,609,0,0,0,0,0,87037,42839,43807,390,0,10561,4086,6083,390,4487,1,31182,2902,0,31,16,22483,5218,14597,2667,9448,8800,0,0,137,16,8,4,235,15,3,0,10,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,761,596,0,8401,470,0,0,8444,1135,0,0,8451,187,0,0,8126,504,0,0,8106,5,0,0,8400,8100,5005,5002,5002,98,440,6.0,1,1588456229039
1588454118215,9,True,3078,2033,3508,1037,3111,1038,3340,3,3,7,3,1,1,893,0,0,0,0,0,187417,4772,168319,14326,963,19855,3612,13698,2544,5603,1,14127,16314,7123,27,14,21250,5481,15368,400,11471,10733,2,0,160,19,4,7,373,15,3,0,12,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,977,792,0,8446,2199,0,0,8473,769,0,0,8451,176,0,0,8304,10,3,0,8347,0,0,0,8400,8300,5008,5008,5002,41,440,6.0,1,1588454118215
1588103382295,5,True,3812,3153,2055,3071,3065,3111,3340,4,7,10,3,2,1,1046,1,0,0,0,0,186789,27505,142439,16845,0,20208,3122,17086,0,5391,1,31686,10124,6647,28,16,34402,14392,16064,3945,14305,14375,1,0,241,20,3,12,62,18,5,0,15,1,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8010,1258,0,0,9111,943,280,0,9104,20,10,0,8299,561,0,0,8304,11,1,5,8345,3,0,0,8000,8300,5008,5008,5003,62,440,5.0,1,1588103382295
1588098790579,5,False,3068,3748,1057,3111,3076,0,3340,2,5,9,0,1,0,736,0,0,0,0,0,99877,27572,70185,2118,0,14522,6235,7807,478,594,1,24233,2571,1931,22,28,18464,7663,10602,198,10216,10295,1,0,186,4,4,0,234,15,3,0,12,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,995,730,0,8401,566,0,0,8444,783,0,0,8451,215,0,0,8126,545,0,0,8106,5,0,0,8400,8100,5005,5008,5002,98,440,5.0,1,1588098790579
1588096687440,5,True,1054,3077,3068,3111,1036,1028,3340,0,1,5,0,0,0,399,0,0,0,0,0,76864,20798,43300,12765,0,3890,1220,2549,120,665,1,9296,3277,1010,8,6,6987,1415,5571,0,7447,6550,1,0,145,0,0,0,112,14,1,0,5,1,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8437,212,146,0,8401,144,0,0,8444,417,0,0,8451,165,0,0,8126,120,0,0,8106,4,0,0,8400,8100,5005,5002,5002,98,440,5.0,1,1588096687440
1588094070882,10,True,3068,1054,0,3001,3111,3076,3340,4,1,14,2,1,2,1553,0,0,0,0,0,87107,55011,29334,2762,16,18530,12628,5902,0,2214,2,41085,1810,478,21,24,13439,3286,9542,609,9843,8275,0,0,152,7,0,6,465,16,3,0,12,0,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8360,12,0,0,8304,11,1,5,8316,992,0,0,8410,77,0,0,8226,250,480,0,8210,0,0,0,8300,8200,5007,5008,5002,54,440,5.0,1,1588094070882
1587932091984,10,True,1054,3748,2055,3075,3068,3111,3340,4,2,13,4,1,1,1648,0,0,0,0,0,112859,38614,60806,13437,42,11368,4877,5802,687,1891,1,29663,2928,504,38,21,19552,4649,11699,3203,11839,10900,2,0,174,18,5,10,399,17,2,0,8,8,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8437,633,462,0,8401,413,0,0,8444,1151,0,0,8451,231,0,0,8126,736,0,0,8106,5,0,0,8400,8100,5005,5008,5002,98,440,5.0,1,1587932091984
