,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,championId,queueId,week,counter,gameCreation
1588529772548,1,False,2055,1058,3157,3285,3135,3020,3363,7,11,13,3,2,2,350,1,0,0,0,0,175901,153689,9523,12689,0,34967,33230,1372,364,4070,1,11365,6610,942,22,51,25650,12666,11139,1844,13341,12800,1,0,186,16,13,0,349,16,6,0,12,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1584,0,0,8139,1225,0,0,8138,30,0,0,8135,2415,5,0,8226,250,1868,0,8210,0,0,0,8100,8200,5008,5008,5003,Syndra,Flex,5.0,1,1588529772548
1588523340439,6,True,1058,3152,3386,3115,3151,3020,3363,9,7,15,4,2,3,631,2,0,0,0,0,257898,225853,28204,3840,0,30888,24431,3542,2915,9243,1,54664,30507,13747,44,8,32975,8733,23392,848,18345,15475,3,0,264,12,4,4,87,18,5,0,16,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,2231,0,0,8009,2955,500,0,9105,17,0,0,8014,610,0,0,8139,1217,0,0,8135,4424,5,0,8000,8100,5008,5008,5002,Diana,Flex,5.0,1,1588523340439
1588458639976,6,False,3006,3153,3156,3031,3036,3094,3363,12,5,6,5,3,3,1036,1,1,0,0,0,302403,45609,227749,29045,885,32993,5286,24990,2717,3816,1,20329,14961,5736,23,14,30710,11489,18365,855,18558,17925,1,0,279,31,31,0,205,18,3,0,15,6,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,2614,1423,1190,9111,1128,360,0,9104,16,30,0,8014,724,0,0,8446,1189,0,0,8473,1237,0,0,8000,8400,5005,5008,5003,Tristana,Flex,5.0,1,1588458639976
1588456229039,1,True,1029,3020,2421,3285,3089,3916,3363,9,1,12,7,2,2,1536,1,0,0,0,0,157808,145532,9201,3074,0,29846,29182,528,134,4167,1,5010,9826,5140,32,39,11232,4076,6303,852,12858,11925,2,0,179,20,8,8,311,15,5,0,13,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,948,0,0,8139,823,0,0,8138,30,0,0,8135,2592,5,0,8226,250,851,0,8210,0,0,0,8100,8200,5008,5008,5003,Syndra,Flex,5.0,1,1588456229039
1588454118215,6,True,2055,1058,3157,3285,3916,3020,3363,13,5,7,6,2,3,584,2,0,0,0,0,129192,120787,8230,175,0,28123,27160,787,175,5696,1,8358,10916,2308,23,46,19918,9762,9183,973,13346,11950,0,0,137,24,12,5,307,15,8,0,13,2,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1226,0,0,8139,1113,0,0,8138,30,0,0,8135,3196,4,0,8226,250,1017,0,8210,0,0,0,8100,8200,5008,5008,5003,Syndra,Flex,5.0,1,1588454118215
1588103382295,2,True,3123,3006,3026,3095,3031,3094,3363,11,7,11,4,2,4,652,2,0,0,0,0,257865,39074,209914,8877,1051,37774,6538,29716,1520,3944,1,10465,15817,2664,43,19,25009,14450,9479,1079,18421,15725,1,0,238,44,20,8,198,18,3,0,15,8,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8005,1738,1009,729,9111,1198,440,0,9104,13,50,0,8014,874,0,0,8275,10,0,0,8236,28,0,0,8000,8200,5005,5008,5003,Tristana,Flex,5.0,1,1588103382295
1588098790579,2,False,0,3152,2421,3115,3020,3191,3363,2,8,0,0,1,0,498,0,0,0,0,0,122710,105460,15240,2010,0,15706,14222,1483,0,2086,1,20106,449,449,29,7,24322,7738,16058,525,9097,9200,0,0,176,8,8,0,51,14,4,0,12,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,699,0,0,8009,268,200,0,9105,0,0,0,8014,138,0,0,8139,730,0,0,8135,819,2,0,8000,8100,5008,5008,5003,Diana,Flex,5.0,1,1588098790579
1588096687440,2,True,3191,3152,2420,3115,3151,3020,3340,11,2,3,6,3,2,510,2,1,0,0,0,170347,141118,19813,9415,0,23074,20058,3015,0,4633,1,14912,11904,11208,23,6,13195,4694,7729,772,14343,12175,3,0,194,29,5,14,38,15,3,0,10,0,False,False,True,False,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8010,974,0,0,8009,2018,500,0,9105,15,0,0,8014,608,0,0,8139,636,0,0,8135,3106,5,0,8000,8100,5008,5008,5003,Diana,Flex,5.0,1,1588096687440
1588094070882,7,True,3089,3165,2421,3285,3102,3020,3363,22,2,4,10,2,3,867,3,0,0,0,0,202000,191610,10389,0,0,32716,31549,1167,0,5528,1,10598,13741,6931,48,34,15013,5214,9209,589,16936,15300,2,0,203,28,12,12,341,17,2,0,11,2,False,False,False,True,False,True,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8112,1486,0,0,8139,1010,0,0,8138,30,0,0,8135,3652,5,0,8226,250,1773,0,8210,0,0,0,8100,8200,5008,5008,5003,Syndra,Flex,5.0,1,1588094070882
1587932091984,7,True,3905,3030,3157,0,3089,3020,3340,14,4,12,6,1,3,728,0,0,0,0,0,186067,176267,7919,1879,0,30467,27898,1162,1407,2766,1,11204,18712,9127,36,45,18742,10738,7552,452,14824,13825,3,1,186,12,7,4,374,17,3,0,20,0,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8351,19,0,0,8304,9,4,5,8345,3,0,0,8347,0,0,0,8139,1741,0,0,8134,66,5,0,8300,8100,5008,5008,5003,Veigar,Flex,4.0,1,1587932091984
1587929948757,7,True,0,0,3157,3285,3020,1026,3340,7,5,6,4,2,2,392,2,0,0,0,0,103998,97575,6423,0,0,13568,12798,769,0,1634,1,6997,1678,1516,17,22,10262,1598,7800,863,10492,8850,0,0,157,12,4,4,232,14,2,0,10,0,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,845,0,0,8139,616,0,0,8138,30,0,0,8135,1096,5,0,8226,250,1043,0,8210,0,0,0,8100,8200,5008,5008,5002,Syndra,Flex,4.0,1,1587929948757
1587925337533,2,False,3020,3152,3157,3115,3102,1058,3363,12,9,12,6,2,2,695,2,0,0,0,0,252022,216172,33759,2090,0,46528,39327,5110,2090,13116,1,59709,9996,0,30,14,45468,15971,26949,2548,16739,15575,0,0,215,56,43,0,81,18,3,0,16,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,4358,0,0,8009,4686,500,0,9105,12,20,0,8014,941,0,0,8139,1509,0,0,8135,7529,5,0,8000,8100,5008,5008,5003,Diana,Flex,4.0,1,1587925337533
1587921305303,2,True,1026,3152,3157,3115,3135,3020,3363,9,9,12,3,2,2,598,1,0,0,0,0,236500,196796,27238,12465,0,38660,31413,4607,2639,7494,1,39843,8732,2987,54,14,32672,6828,20512,5331,15526,13825,1,0,233,24,17,0,89,18,3,0,15,9,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,2420,0,0,8009,3960,500,0,9105,22,20,0,8014,740,0,0,8139,1322,0,0,8135,3908,5,0,8000,8100,5008,5008,5003,Diana,Flex,4.0,1,1587921305303
1587919477546,2,True,2055,3152,2003,3115,3020,0,3340,7,4,2,5,2,1,360,1,0,0,0,0,77460,54774,10778,11908,0,12221,10010,2146,64,2054,1,9090,1413,1413,10,5,11711,4781,6710,220,7426,7425,0,0,115,0,0,0,43,12,3,0,7,1,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1022,0,0,8009,1339,500,0,9105,13,0,0,8014,313,0,0,8139,404,0,0,8135,948,5,0,8000,8100,5008,5008,5003,Diana,Flex,4.0,1,1587919477546
1587751420490,2,False,1056,1056,3020,3285,3136,1026,3340,3,10,2,0,1,0,227,0,0,0,0,0,98058,92077,5981,0,0,16205,15488,716,0,1731,1,6077,783,783,10,30,15909,4813,10345,750,8142,7675,0,0,150,1,0,1,301,12,1,0,8,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,673,0,0,8139,772,0,0,8138,10,0,0,8135,1219,3,0,8210,0,0,0,8226,250,713,0,8100,8200,5008,5008,5003,Syndra,Flex,4.0,1,1587751420490
1587749229020,7,False,1056,3020,2421,3285,3136,1026,3363,6,9,3,2,1,2,296,0,0,0,0,0,98571,93177,4638,754,0,17202,15607,840,754,1675,1,5005,2701,2600,10,19,15533,8369,6654,510,8737,8050,0,0,132,10,10,0,236,12,2,0,8,0,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,964,0,0,8139,758,0,0,8138,18,0,0,8135,1209,4,0,8210,0,0,0,8226,250,905,0,8100,8200,5008,5008,5003,Syndra,Flex,4.0,1,1587749229020
1587325252435,2,False,2139,0,3157,3285,3020,1056,3363,2,5,5,2,1,1,838,0,0,0,0,0,137331,125940,9163,2228,0,15667,13986,592,1088,1758,1,10502,2814,421,20,31,14271,3743,9024,1503,9862,9425,0,0,195,8,4,0,298,14,3,0,10,2,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,803,0,0,8139,684,0,0,8138,14,0,0,8135,1272,3,0,8226,250,1538,0,8210,0,0,0,8100,8200,5008,5008,5002,Syndra,Flex,3.0,1,1587325252435
1587321212861,7,False,0,3135,0,3285,3089,3020,3363,4,8,11,2,1,1,363,0,0,0,0,0,235522,212253,10369,12898,0,30167,28297,807,1061,4049,1,9544,5675,476,23,61,20620,9863,9893,862,12310,12025,0,0,203,24,17,0,455,16,5,0,14,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1092,0,0,8139,1002,0,0,8138,30,0,0,8135,3398,4,0,8226,250,2004,0,8210,0,0,0,8100,8200,5008,5008,5003,Syndra,Flex,3.0,1,1587321212861
1587155795828,2,False,3916,3152,3157,3115,3089,3020,3363,15,9,8,5,2,4,697,2,0,0,0,0,246424,213719,25687,7016,0,46211,38587,5597,2026,8573,1,39034,14725,5770,39,16,33246,13239,19291,716,16603,16350,1,1,232,23,12,8,74,17,6,0,16,3,True,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,3330,0,0,8009,3586,500,0,9105,13,0,0,8014,793,0,0,8139,1343,0,0,8135,4739,5,0,8000,8100,5008,5008,5003,Diana,Flex,3.0,1,1587155795828
1587148864781,7,True,0,3151,3157,3285,3135,3020,3363,9,7,14,3,1,3,866,0,0,0,0,0,235277,217477,14706,3093,0,34062,32345,1281,435,6859,1,13204,7895,1515,35,54,21581,8415,12687,479,16101,15045,0,1,213,27,23,0,503,18,5,0,19,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1756,0,0,8139,1298,0,0,8138,30,0,0,8135,4222,5,0,8226,250,2135,0,8210,20,0,0,8100,8200,5008,5008,5003,Syndra,Flex,3.0,1,1587148864781
1587143877201,7,True,3089,3102,3157,3285,3165,3020,3363,22,15,13,5,3,5,396,2,1,0,0,0,299441,274958,16022,8460,0,61031,54843,3325,2863,5753,1,24168,27973,5758,57,57,41617,22532,16048,3036,22482,18600,2,0,193,57,45,3,469,18,6,0,21,5,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8005,585,490,95,9111,1682,700,0,9104,9,40,0,8014,1182,0,0,8304,6,4,5,8345,3,0,0,8000,8300,5005,5008,5002,Syndra,Flex,3.0,1,1587143877201
1586977789876,2,True,1058,3165,3157,3285,3135,3020,3363,9,4,11,3,1,3,1013,0,0,0,0,0,248979,231810,15986,1182,0,37259,35527,550,1182,7285,1,13330,21912,6928,32,44,20764,10277,9984,502,17616,15500,4,1,234,36,20,4,407,18,4,0,17,1,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8112,1493,0,0,8139,1300,0,0,8138,30,0,0,8135,5488,5,0,8226,250,1488,0,8210,20,0,0,8100,8200,5008,5008,5003,Syndra,Flex,3.0,1,1586977789876
1586974385991,2,False,1033,3108,3157,3285,3165,3020,3363,10,7,2,4,1,3,523,0,0,0,0,0,140638,132030,7246,1361,0,25905,23925,854,1125,4415,1,11033,2925,1302,29,24,19529,8833,10571,124,12948,12300,0,0,171,17,13,0,292,14,2,0,12,7,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1132,0,0,8139,1069,0,0,8138,30,0,0,8135,2701,5,0,8226,250,1575,0,8210,20,0,0,8100,8200,5008,5008,5003,Syndra,Flex,3.0,1,1586974385991
1586971499005,2,True,0,0,3157,3285,3165,3020,3363,2,10,17,0,1,0,436,0,0,0,0,0,157459,149782,7676,0,0,23737,22918,818,0,4878,1,7984,5219,1136,25,36,25975,18552,6592,830,11416,11350,0,0,159,27,20,4,366,16,6,0,14,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1057,0,0,8139,1037,0,0,8138,30,0,0,8135,3504,5,0,8226,250,1643,0,8210,0,0,0,8100,8200,5008,5008,5003,Syndra,Flex,3.0,1,1586971499005
1586373361205,7,False,1031,3142,2421,3147,3053,3117,3364,14,7,9,7,2,2,695,1,0,0,0,0,130692,8505,121451,734,0,29433,1538,27159,734,7163,1,16277,10762,2688,34,32,27164,7009,18654,1500,13373,12325,2,0,123,12,4,1,91,15,5,0,10,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1716,0,0,8143,1126,0,0,8138,18,0,0,8135,4774,5,0,8345,3,0,0,8352,281,1430,1036,8100,8300,5008,5008,5003,Qiyana,Flex,2.0,1,1586373361205
1586370832163,2,True,0,1058,0,3285,3916,3020,3340,6,1,5,6,1,1,160,0,0,0,0,0,86863,72373,7444,7046,0,11040,10343,431,266,1930,1,2715,7846,2735,18,16,6426,2510,3879,36,8574,8400,3,0,122,10,4,6,217,12,2,0,7,0,False,False,True,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,506,0,0,8139,374,0,0,8138,30,0,0,8135,1579,5,0,8226,250,408,0,8210,0,0,0,8100,8200,5008,5008,5003,Syndra,Flex,2.0,1,1586370832163
1586203784321,7,False,0,0,3157,3285,3020,1052,3363,4,7,7,2,1,1,501,0,0,0,0,0,108412,101096,6837,478,0,15126,13911,737,478,1058,1,7431,944,944,19,37,11783,1954,8212,1617,9151,8385,0,0,150,8,8,0,359,14,2,0,10,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1052,0,0,8139,528,0,0,8138,30,0,0,8135,798,5,0,8226,250,1113,0,8210,0,0,0,8100,8200,5008,5008,5003,Syndra,Flex,2.0,1,1586203784321
1586199549069,7,False,2055,3089,3157,3285,3916,3020,3363,4,7,11,2,1,2,594,0,0,0,0,0,254269,240316,9547,4405,0,28475,27652,647,175,6871,1,10463,11312,2072,32,39,27207,17524,8479,1203,14656,14195,0,0,246,39,36,1,466,17,5,0,16,5,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1050,0,0,8139,1123,0,0,8138,30,0,0,8135,4038,5,0,8226,250,1649,0,8210,0,0,0,8100,8200,5008,5008,5003,Syndra,Flex,2.0,1,1586199549069
1586196841996,7,True,3033,3006,3155,3095,3031,3094,3363,12,3,8,8,3,2,1125,1,1,0,0,0,273382,44145,226606,2630,853,29997,4643,23387,1966,4667,1,9381,41617,15005,36,7,16686,3874,12569,241,18377,15900,7,3,224,32,13,5,104,18,4,0,12,3,False,False,True,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1937,1224,712,9111,780,400,0,9104,14,40,0,8014,721,0,0,8446,2000,0,0,8473,807,0,0,8000,8400,5005,5008,5003,Tristana,Flex,2.0,1,1586196841996
1585771594947,2,True,3155,3142,3134,3147,3036,3117,3364,12,5,6,8,2,2,625,2,0,0,0,0,122052,7481,113409,1161,0,24392,1391,21840,1161,5616,1,11779,2775,2228,24,16,17906,7897,7912,2096,13676,12575,0,1,165,9,0,5,56,15,1,0,8,5,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,896,0,0,8143,607,0,0,8138,18,0,0,8135,4342,5,0,8345,3,0,0,8352,171,818,572,8100,8300,5008,5008,5003,Qiyana,Flex,1.0,1,1585771594947
1585767664063,7,True,3089,1052,3157,3285,3916,3020,3363,9,7,14,6,1,2,498,0,0,0,0,0,204021,187984,10251,5786,0,29598,27770,961,867,6319,1,11529,15819,7024,38,32,22425,11113,10166,1145,15709,14385,3,3,214,28,12,4,346,17,4,0,13,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8112,1935,0,0,8139,917,0,0,8138,30,0,0,8135,3827,5,0,8226,250,1642,0,8210,0,0,0,8100,8200,5008,5008,5003,Syndra,Flex,1.0,1,1585767664063
1585692025461,2,False,0,3152,3157,3115,3020,0,3363,8,7,3,6,3,1,496,1,1,0,0,0,128224,114437,10684,3102,0,18641,15711,1672,1257,3400,1,19686,7331,5427,21,8,18189,3267,13508,1413,10964,10750,2,0,157,11,9,0,45,14,2,0,8,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1212,0,0,8009,1212,500,0,9105,16,20,0,8014,485,0,0,8139,599,0,0,8135,1924,5,0,8000,8100,5008,5008,5003,Diana,Flex,1.0,1,1585692025461
1585689486193,7,True,3374,3152,2421,3115,3020,3165,3340,14,5,8,7,2,3,476,2,0,0,0,0,194245,172292,19789,2164,0,30136,26438,2195,1502,5792,1,24237,9481,3482,28,9,20319,11214,7950,1153,16446,14425,1,1,197,28,12,9,77,17,1,0,11,3,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1439,0,0,8009,2934,500,0,9105,16,20,0,8014,652,0,0,8139,1076,0,0,8135,3052,5,0,8000,8100,5008,5008,5003,Diana,Flex,1.0,1,1585689486193
1585686822564,7,True,3374,3152,3157,3115,3151,3020,3363,16,8,6,9,2,3,1041,3,0,0,0,0,262150,237919,21048,3182,0,38073,33076,3662,1335,9079,1,38681,16213,9733,50,10,28560,7382,18364,2812,19305,17550,4,3,254,38,16,13,86,18,4,0,16,5,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,2068,0,0,8009,3502,500,0,9105,12,0,0,8014,883,0,0,8139,1549,0,0,8135,5267,5,0,8000,8100,5008,5008,5003,Diana,Flex,1.0,1,1585686822564
1585600253906,2,True,0,3152,0,3020,1056,1042,3340,1,4,0,0,1,0,333,0,0,0,0,0,56597,47913,8260,424,0,4286,3308,554,424,915,1,6770,2098,2098,9,2,8858,3140,4428,1288,5164,4550,0,0,111,4,0,4,18,10,0,0,5,1,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,101,0,0,8009,82,100,0,9105,0,0,0,8014,51,0,0,8139,278,0,0,8135,521,1,0,8000,8100,5008,5008,5003,Diana,Flex,1.0,1,1585600253906
